,Training_set,ZTF_ID,TNS_class,my_class,my_SN_Ia,my_SN_II,my_SN_Ibc,my_SLSN,ALeRCE_class,ALeRCE_SN_Ia,ALeRCE_SN_II,ALeRCE_SN_Ibc,ALeRCE_SLSN,Redshift
4694,False,ZTF19aamqory,No Classification,SN Ib/c,0.281,0.276,0.36,0.083,SNIa,0.348,0.208,0.326,0.118,No Redshift
4695,False,ZTF19aaxugwk,CV,SN II,0.19,0.34,0.322,0.148,SNII,0.214,0.328,0.314,0.144,No Redshift
4696,False,ZTF18aaqkoss,No Classification,SN Ia,0.663,0.094,0.21,0.033,SNIa,0.468,0.16,0.262,0.11,No Redshift
4697,False,ZTF18aaybkrg,Object Not Found,SN II,0.29,0.304,0.267,0.139,SNIa,0.304,0.276,0.262,0.158,No Redshift
4698,False,ZTF18aauhqdo,Object Not Found,SN Ia,0.514,0.224,0.196,0.066,SNIa,0.41,0.212,0.268,0.11,No Redshift
4699,False,ZTF19acftcbx,No Classification,SN Ib/c,0.316,0.172,0.356,0.156,SNIa,0.328,0.222,0.276,0.174,No Redshift
4700,False,ZTF19acbrtbh,SN Ia,SN Ia,0.431,0.175,0.279,0.115,SNIa,0.396,0.144,0.346,0.114,0.11
4701,False,ZTF19ackjrye,No Classification,SN Ib/c,0.12,0.325,0.326,0.229,SNIbc,0.24,0.22,0.302,0.238,0.034556
4702,False,ZTF20aahbrfu,No Classification,SN Ib/c,0.215,0.238,0.5,0.047,SNIa,0.332,0.252,0.264,0.152,No Redshift
4703,False,ZTF19acmbgwx,No Classification,SN Ia,0.354,0.237,0.27,0.139,SNIa,0.338,0.212,0.316,0.134,No Redshift
4704,False,ZTF19acrbzjr,No Classification,SN Ib/c,0.284,0.202,0.466,0.048,SNIa,0.4,0.206,0.304,0.09,No Redshift
4705,False,ZTF20aawphxj,No Classification,SN Ib/c,0.201,0.277,0.458,0.064,SNIbc,0.276,0.244,0.342,0.138,No Redshift
4706,False,ZTF19acyjzeo,SN Ib,SN Ia,0.386,0.181,0.303,0.13,SNIa,0.35,0.202,0.278,0.17,0.05016
4707,False,ZTF20aamttiw,SN II,SN II,0.113,0.498,0.207,0.182,SNII,0.206,0.376,0.216,0.202,0.0449
4708,False,ZTF20abbjaxk,No Classification,SN II,0.184,0.395,0.218,0.203,SNIa,0.314,0.306,0.23,0.15,0.083691
4709,False,ZTF20abbvcjt,No Classification,SN Ia,0.648,0.106,0.091,0.155,SNIa,0.428,0.15,0.234,0.188,No Redshift
4710,False,ZTF20abernkz,No Classification,SN Ia,0.326,0.205,0.308,0.161,SNII,0.268,0.272,0.24,0.22,No Redshift
4711,False,ZTF20aavctvp,No Classification,SN Ia,0.6,0.14,0.165,0.095,SNIa,0.328,0.246,0.246,0.18,No Redshift
4712,False,ZTF19abiszzn,SN II,SN Ib/c,0.264,0.3,0.36,0.076,SNIa,0.396,0.25,0.288,0.066,0.04942
4713,False,ZTF19abguymc,Object Not Found,SN Ia,0.47,0.168,0.235,0.127,SNIa,0.314,0.206,0.286,0.194,No Redshift
4714,False,ZTF20abgiily,Object Not Found,SN II,0.162,0.37,0.264,0.204,SNII,0.242,0.286,0.224,0.248,No Redshift
4715,False,ZTF19abrbrph,No Classification,SN Ia,0.3,0.284,0.273,0.143,SNIa,0.288,0.286,0.22,0.206,No Redshift
4716,False,ZTF19acaocct,No Classification,SN Ia,0.402,0.169,0.312,0.117,SNIa,0.388,0.214,0.264,0.134,No Redshift
4717,False,ZTF18adalgmc,SN Ia,SN II,0.127,0.383,0.355,0.135,SNIbc,0.252,0.264,0.376,0.108,0.036
4718,False,ZTF18acvduiz,No Classification,SN Ia,0.355,0.247,0.346,0.052,SNIa,0.404,0.184,0.354,0.058,0.08061
4719,False,ZTF20abbblsm,No Classification,SN Ia,0.335,0.174,0.33,0.161,SNIa,0.374,0.188,0.324,0.114,No Redshift
4720,False,ZTF20abbfofg,No Classification,SN Ia,0.327,0.271,0.237,0.165,SNIa,0.286,0.232,0.24,0.242,No Redshift
4721,False,ZTF20abkcrqr,No Classification,SN II,0.262,0.341,0.278,0.119,SNIa,0.312,0.284,0.25,0.154,No Redshift
